Datetime,time,std_realpower,std_ust_predpower,std_st_predpower,std_mt_predpower,Load factor
2022-12-31,7:00:00,0.965596167,0.958002129,0.939904187,0.961178141,0.97
2022-12-31,6:45:00,0.962322569,0.953770405,0.944056068,0.961178141,0.96
2022-12-31,6:30:00,0.969220192,0.958827182,0.856085877,0.961178141,0.97
2022-12-31,6:15:00,0.969889993,0.959426011,0.853934528,0.961178141,0.97
2022-12-31,6:00:00,0.947826473,0.961178141,0.952900994,0.961178141,0.95
2022-12-31,5:45:00,0.913812988,0.957429915,0.951894074,0.961178141,0.91
2022-12-31,5:30:00,0.895444464,0.961067246,0.960357523,0.961178141,0.9
2022-12-31,5:15:00,0.902355394,0.952989709,0.911847942,0.961178141,0.9
2022-12-31,5:00:00,0.877058197,0.903797019,0.895919092,0.961178141,0.88
2022-12-31,4:45:00,0.727342087,0.889003726,0.88228797,0.961178141,0.73
2022-12-31,4:30:00,0.646322747,0.85817956,0.843594748,0.961178141,0.65
2022-12-31,4:15:00,0.613466998,0.806427431,0.806099184,0.961178141,0.61
2022-12-31,4:00:00,0.533960256,0.730455997,0.776885202,0.961178141,0.53
2022-12-31,3:45:00,0.46739709,0.793293116,0.794144784,0.961178141,0.47
2022-12-31,3:30:00,0.589571505,0.855518098,0.800958126,0.961178141,0.59
2022-12-31,3:15:00,0.72678318,0.900771824,0.805748758,0.961178141,0.73
2022-12-31,3:00:00,0.880970546,0.922520405,0.801472676,0.961178141,0.88
2022-12-31,2:45:00,0.918905252,0.924268098,0.810304294,0.961178141,0.92
2022-12-31,2:30:00,0.927989709,0.923518453,0.811612846,0.961178141,0.93
2022-12-31,2:15:00,0.912513307,0.923966466,0.814984031,0.961178141,0.91
2022-12-31,2:00:00,0.926774308,0.91906494,0.816310326,0.961178141,0.93
2022-12-31,1:45:00,0.939469482,0.931360894,0.83530873,0.961178141,0.94
2022-12-31,1:30:00,0.922227644,0.93588538,0.848624911,0.961178141,0.92
2022-12-31,1:15:00,0.897014727,0.939722321,0.863245209,0.961178141,0.9
2022-12-31,1:00:00,0.838218595,0.947959546,0.872813165,0.961178141,0.84
2022-12-31,0:45:00,0.90979418,0.941988999,0.888959368,0.961178141,0.91
2022-12-31,0:30:00,0.933907026,0.94853176,0.901765436,0.961178141,0.93
2022-12-31,0:15:00,0.952785664,0.952311036,0.915165898,0.961178141,0.95
2022-12-31,0:00:00,0.943736693,0.954919269,0.925119766,0.961178141,0.94
2022-12-30,23:45:00,0.947307488,0.957239177,0.942490241,0.961178141,0.95
2022-12-30,23:30:00,0.956343151,0.958237225,0.932908978,0.961178141,0.96
2022-12-30,23:15:00,0.965259049,0.959230837,0.934745387,0.961178141,0.97
2022-12-30,23:00:00,0.969113733,0.959594571,0.931839957,0.961178141,0.97
2022-12-30,22:45:00,0.96924237,0.960521647,0.942738644,0.961178141,0.97
2022-12-30,22:30:00,0.970031938,0.960002661,0.945386799,0.961178141,0.97
2022-12-30,22:15:00,0.969810149,0.960188964,0.949871363,0.961178141,0.97
2022-12-30,22:00:00,0.971753016,0.960632541,0.953366749,0.961178141,0.97
2022-12-30,21:45:00,0.966727289,0.960353087,0.957310149,0.961178141,0.97
2022-12-30,21:30:00,0.965968772,0.96045511,0.958303762,0.961178141,0.97
2022-12-30,21:15:00,0.975270582,0.960778921,0.95884049,0.961178141,0.98
2022-12-30,21:00:00,0.974449965,0.960588183,0.958778389,0.961178141,0.97
2022-12-30,20:45:00,0.973048261,0.96060149,0.960047019,0.961178141,0.97
2022-12-30,20:30:00,0.971757452,0.960597055,0.960304294,0.961178141,0.97
2022-12-30,20:15:00,0.975958126,0.960432931,0.960730128,0.961178141,0.98
2022-12-30,20:00:00,0.964048084,0.961022889,0.959927253,0.961178141,0.96
2022-12-30,19:45:00,0.93565472,0.960512775,0.960144606,0.961178141,0.94
2022-12-30,19:30:00,0.976255323,0.960672463,0.960787793,0.961178141,0.98
2022-12-30,19:15:00,0.975026615,0.960929737,0.960122427,0.961178141,0.98
2022-12-30,19:00:00,0.975421398,0.960552697,0.96083215,0.961178141,0.98
2022-12-30,18:45:00,0.976286373,0.959603442,0.960415188,0.961178141,0.98
2022-12-30,18:30:00,0.978486515,0.957261356,0.959976047,0.961178141,0.98
2022-12-30,18:15:00,0.976481547,0.956813343,0.960707949,0.961178141,0.98
2022-12-30,18:00:00,0.972702271,0.958157381,0.960694642,0.961178141,0.97
2022-12-30,17:45:00,0.979573279,0.953220369,0.957345635,0.961178141,0.98
2022-12-30,17:30:00,0.975337119,0.958791696,0.959168737,0.961178141,0.98
2022-12-30,17:15:00,0.972502661,0.957922285,0.956414123,0.961178141,0.97
2022-12-30,17:00:00,0.979267211,0.957154897,0.958352555,0.961178141,0.98
2022-12-30,16:45:00,0.97543027,0.960397445,0.959740951,0.961178141,0.98
2022-12-30,16:30:00,0.975838361,0.959128815,0.957194819,0.961178141,0.98
2022-12-30,16:15:00,0.979653123,0.958538857,0.961178141,0.961178141,0.98
2022-12-30,16:00:00,0.975944819,0.957194819,0.961178141,0.961178141,0.98
2022-12-30,15:45:00,0.97203247,0.958237225,0.960002661,0.961178141,0.97
2022-12-30,15:30:00,0.97935149,0.957815827,0.957740419,0.961178141,0.98
2022-12-30,15:15:00,0.9744544,0.956862136,0.960131299,0.961178141,0.97
2022-12-30,15:00:00,0.976867459,0.961036196,0.96068577,0.961178141,0.98
2022-12-30,14:45:00,0.975975869,0.961178141,0.960721256,0.961178141,0.98
2022-12-30,14:30:00,0.975408091,0.960991838,0.960707949,0.961178141,0.98
2022-12-30,14:15:00,0.974472143,0.960428495,0.956431867,0.961178141,0.97
2022-12-30,14:00:00,0.970728353,0.959625621,0.953535309,0.961178141,0.97
2022-12-30,13:45:00,0.972879702,0.958924769,0.961178141,0.961178141,0.97
2022-12-30,13:30:00,0.970998935,0.961178141,0.960566004,0.961178141,0.97
2022-12-30,13:15:00,0.973598297,0.959984918,0.961178141,0.961178141,0.97
2022-12-30,13:00:00,0.971735273,0.959394961,0.959807488,0.961178141,0.97
2022-12-30,12:45:00,0.971988112,0.961151526,0.961178141,0.961178141,0.97
2022-12-30,12:30:00,0.970870298,0.961071682,0.960752307,0.961178141,0.97
2022-12-30,12:15:00,0.971739709,0.961053939,0.961178141,0.961178141,0.97
2022-12-30,12:00:00,0.971881654,0.96045511,0.961178141,0.960978531,0.97
2022-12-30,11:45:00,0.971784067,0.961089425,0.960663591,0.961178141,0.97
2022-12-30,11:30:00,0.971965933,0.961102732,0.961062811,0.961178141,0.97
2022-12-30,11:15:00,0.972059084,0.961009581,0.960978531,0.961178141,0.97
2022-12-30,11:00:00,0.972130057,0.961053939,0.961036196,0.961178141,0.97
2022-12-30,10:45:00,0.97125621,0.961018453,0.960747871,0.961178141,0.97
2022-12-30,10:30:00,0.97240951,0.961107168,0.961071682,0.961178141,0.97
2022-12-30,10:15:00,0.971132009,0.960907559,0.961040632,0.961178141,0.97
2022-12-30,10:00:00,0.972715578,0.960863201,0.960858765,0.961178141,0.97
2022-12-30,9:45:00,0.971584457,0.960823279,0.960818843,0.961178141,0.97
2022-12-30,9:30:00,0.972981725,0.960619233,0.960765614,0.961178141,0.97
2022-12-30,9:15:00,0.97226313,0.960747871,0.960384138,0.961178141,0.97
2022-12-30,9:00:00,0.972804294,0.960756742,0.960290987,0.961178141,0.97
2022-12-30,8:45:00,0.971509049,0.959940561,0.960468417,0.961178141,0.97
2022-12-30,8:30:00,0.9716022,0.959510291,0.960197835,0.961151526,0.97
2022-12-30,8:15:00,0.973997516,0.957731547,0.958348119,0.961178141,0.97
2022-12-30,8:00:00,0.973021647,0.954449077,0.957527502,0.961178141,0.97
2022-12-30,7:45:00,0.965995387,0.950332683,0.956591554,0.961178141,0.97
2022-12-30,7:30:00,0.951765436,0.946810681,0.955114443,0.96111604,0.95
2022-12-30,7:15:00,0.912380234,0.935987402,0.951512598,0.961178141,0.91
2022-12-30,7:00:00,0.869450852,0.932367814,0.949197126,0.961178141,0.87
2022-12-30,6:45:00,0.912331441,0.936080554,0.947254258,0.961178141,0.91
2022-12-30,6:30:00,0.928646203,0.931773421,0.945688432,0.961178141,0.93
2022-12-30,6:15:00,0.907421043,0.933081973,0.940746984,0.961178141,0.91
2022-12-30,6:00:00,0.897706707,0.929950319,0.93916785,0.961178141,0.9
2022-12-30,5:45:00,0.850328247,0.934155429,0.935060326,0.961178141,0.85
2022-12-30,5:30:00,0.838493612,0.933587651,0.934514727,0.960725692,0.84
2022-12-30,5:15:00,0.819384315,0.933024308,0.932048439,0.961178141,0.82
2022-12-30,5:00:00,0.885747871,0.93081973,0.931946416,0.961178141,0.89
2022-12-30,4:45:00,0.879293825,0.930664478,0.930145493,0.961178141,0.88
2022-12-30,4:30:00,0.901849716,0.934554649,0.923141412,0.961178141,0.9
2022-12-30,4:15:00,0.919761356,0.93577005,0.915946593,0.961178141,0.92
2022-12-30,4:00:00,0.878557488,0.936901171,0.905952803,0.961178141,0.88
2022-12-30,3:45:00,0.826951739,0.930961675,0.894362136,0.961178141,0.83
2022-12-30,3:30:00,0.763014549,0.923443045,0.886568488,0.961111604,0.76
2022-12-30,3:15:00,0.787868169,0.916292583,0.862331441,0.961178141,0.79
2022-12-30,3:00:00,0.852217885,0.909492548,0.838054471,0.961178141,0.85
